id,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
0,0,0,89,12,0,0,0.0,2,0.02,5
1,1,0,67,11,0,2,0.03,2,0.03,5
2,1,0,68,10,0,5,0.07,2,0.03,5
3,1,0,93,11,0,1,0.01,2,0.02,3
4,0,0,191,26,0,0,0.0,0,0.0,5
5,0,0,186,27,0,0,0.0,0,0.0,4
6,1,0,289,39,0,8,0.03,5,0.02,1
7,1,0,89,11,0,7,0.08,0,0.0,5
8,1,0,22,4,0,3,0.14,0,0.0,5
9,0,0,85,13,0,0,0.0,2,0.02,1
10,1,0,107,15,0,1,0.01,0,0.0,1
11,1,0,46,6,0,2,0.04,0,0.0,5
12,1,0,30,4,0,1,0.03,0,0.0,1
13,1,0,17,3,0,2,0.12,0,0.0,5
14,0,0,106,14,0,0,0.0,0,0.0,1
15,1,0,22,4,0,0,0.0,0,0.0,5
16,1,0,79,12,0,3,0.04,1,0.01,5
17,1,0,84,11,0,4,0.05,0,0.0,5
18,1,0,9,1,0,0,0.0,0,0.0,1
19,1,0,34,5,0,3,0.09,0,0.0,5
20,0,0,396,61,0,0,0.0,4,0.01,4
21,1,0,99,15,0,6,0.06,0,0.0,5
22,1,0,32,5,0,3,0.09,0,0.0,5
23,1,0,82,11,0,3,0.04,0,0.0,1
24,1,0,36,6,0,4,0.11,0,0.0,5
25,0,0,81,15,0,0,0.0,3,0.04,1
26,0,0,90,11,0,0,0.0,0,0.0,5
27,1,0,282,43,0,1,0.0,3,0.01,1
28,1,0,38,5,0,0,0.0,0,0.0,5
29,0,0,262,44,0,0,0.0,3,0.01,4
30,1,0,37,5,0,0,0.0,0,0.0,5
31,0,0,61,8,0,0,0.0,0,0.0,5
32,0,0,123,15,0,0,0.0,0,0.0,5
33,1,0,189,27,0,7,0.04,0,0.0,2
34,0,0,55,8,0,0,0.0,0,0.0,1
35,1,0,64,9,0,5,0.08,0,0.0,5
36,1,0,61,9,0,1,0.02,0,0.0,1
37,0,0,129,21,0,0,0.0,0,0.0,4
38,1,0,6,1,0,0,0.0,1,0.17,5
39,1,0,48,6,0,5,0.1,0,0.0,5
40,0,0,87,16,1,0,0.0,1,0.01,3
41,0,0,108,18,0,0,0.0,0,0.0,1
42,1,0,38,5,0,4,0.11,0,0.0,5
43,1,0,29,4,0,0,0.0,0,0.0,5
44,0,0,122,17,0,0,0.0,0,0.0,5
45,0,0,83,12,0,0,0.0,0,0.0,5
46,1,0,69,9,0,3,0.04,0,0.0,5
47,0,0,47,8,0,0,0.0,0,0.0,5
48,0,0,341,52,0,0,0.0,0,0.0,5
49,1,0,23,3,0,1,0.04,0,0.0,3
50,0,0,134,21,0,0,0.0,0,0.0,1
51,0,0,356,62,0,0,0.0,4,0.01,4
52,1,0,22,3,0,3,0.14,0,0.0,5
53,1,0,312,48,0,7,0.02,0,0.0,1
54,1,0,106,15,0,5,0.05,0,0.0,1
55,1,0,149,21,0,7,0.05,0,0.0,5
56,1,0,224,29,0,5,0.02,0,0.0,1
57,1,0,176,25,0,7,0.04,2,0.01,5
58,0,0,106,18,0,0,0.0,0,0.0,1
59,0,0,33,4,0,0,0.0,0,0.0,4
60,1,0,93,13,0,6,0.06,0,0.0,5
61,1,0,41,7,0,4,0.1,0,0.0,4
62,0,0,49,7,0,0,0.0,0,0.0,5
63,1,0,110,16,0,1,0.01,0,0.0,1
64,0,0,124,19,0,0,0.0,0,0.0,1
65,0,0,490,73,0,0,0.0,0,0.0,1
66,0,0,82,12,0,0,0.0,1,0.01,1
67,0,0,52,6,0,0,0.0,0,0.0,1
68,0,0,148,20,0,0,0.0,0,0.0,1
69,1,0,47,7,0,2,0.04,0,0.0,5
70,0,0,80,11,0,0,0.0,0,0.0,5
71,0,0,79,12,0,0,0.0,0,0.0,1
72,1,0,43,7,0,4,0.09,0,0.0,4
73,1,0,29,4,0,2,0.07,0,0.0,5
74,0,0,95,17,0,0,0.0,2,0.02,1
75,0,0,100,15,0,0,0.0,5,0.05,1
76,0,0,326,47,1,0,0.0,0,0.0,1
77,0,0,14,2,0,0,0.0,0,0.0,5
78,1,0,109,13,0,1,0.01,2,0.02,1
79,0,0,337,62,0,0,0.0,4,0.01,5
80,0,0,10,1,0,0,0.0,0,0.0,3
81,0,0,161,31,0,0,0.0,0,0.0,4
82,0,0,35,5,0,0,0.0,0,0.0,5
83,0,0,105,16,0,0,0.0,0,0.0,5
84,1,0,666,107,1,2,0.0,0,0.0,5
